Scenario,Year,Period,View,Entity,Value,Account,ICP,UD1,UD2,UD3,UD4,Amount
wps12l4Ths,jnzyi2UvKx,5duaryNGTI,FekB7hBIcw,kPq5n5U89k,AI7vHpjykE,sGFGbXdkqx,mOEbrJpEwy,QapessS5MD,8oxRpkOUe4,kQqfWkyokK,jpiiGCZaYL,B5ve4whzQA
RJKadOQPLH,1n8Jwqleua,jlGl03gvjt,xNHRyZUU9G,91Mcf35WTp,MCVKWE7Lo9,wxWvQmWCBv,iIO0KmuoAG,qE9JRxWG3I,el6nEqUKEp,H6IdohbWvd,tTnfN7k0vB,wh61X56Keg
jCv4UKMtzw,CZYtQVyQkk,Z5z9VBDJb5,rtNP9IreGV,QJYwOHlm0h,t6JtBMsL8L,6IDdEoA8ji,uEV1kp01a8,jBoZamnDQF,T8cQyg3tbQ,C1D8zQ8tsj,lxXiIQR8sD,TlngYDlu2D
oUyYF4xpb6,VNjn1b2CrO,X5RBhDhotV,fsOuC8CzuO,0X9uJliJfv,dKmmsyqFVQ,nRWyV8snv0,c0JhkRvgeo,6pEEr0Tbor,1KJLTwIf7V,GLEO7xnGZb,es9wVYiwe6,mnPxXUAk8p
HnJVyt41h8,yhWrDNFLNt,4HNeITz0fz,kraJiqLwzG,WYM2x2m1HY,BHfyU1oDDx,Fq2bIbyglE,mIifG9NsQN,7X6bahVZCo,XLUz0eZdYg,tzpoJlckyt,xAsVCUe4Rg,ZMJ9dZVHTc
kvzC3Wkler,pvM98FEC35,SDltexuoQn,OrYpKHvuja,l1gV7yFZNG,vyFEyatBtH,LImMX3p86c,ca6KrIRMix,yP3sVYQSn2,kgbH3lNsvi,4pmHaqCdSR,uvxZcLHipi,kcJSiHwThd
cJLpOxthtp,JmaewoVqVA,EyYHnCud2U,l2n0UvjH82,OgR8AejnBl,PZwVSZMPKW,gMsdd2BMy0,jQzmsjX9Ro,VAIhiHJft0,EOEJh6heOa,iONDiBu0lm,drew37t3GW,iDOWAh3Otr
0wSDsQv90d,6PonMD3UOi,vnWb9yBps0,gkA0TqYvJz,s5yE9zqNkQ,HLDjOcT8o9,iCILKCkPEr,V5ntuMM7zC,63zGbNdloD,QwuxXWZpZq,f6j5vOfLv9,7FTThPNlCM,tVtp9LYmM6
JiKNZ6mcsl,isXT1vEkjJ,TvQc7kjb3v,EP83vTN34Y,pkmL23QG2N,SWpextn6vX,kbbLJ8OwBd,f5VEwPHWz3,9Ae8jWYrJl,dsyeRw27XZ,vOCEKKuvPs,ojhAXNf25R,s8DNviSh6M
BYyp3K4qOs,jRbTDgSdm0,mEFLQ53631,9KvDpcfUrf,h3CFMMCgXE,C82jldx77U,GdrlZWk1Uw,uGd60KlOLB,O0HsF5mava,c1cEghlIP1,MTh4oGSHff,oAzFtigRiB,br0TTy2g9Z
UkeruSCXfh,TuuCwvggc2,1EkNFl8EhT,IVx5UB3xUR,uA8ZV1ZYek,scElriTiS1,3EQzudM65K,IpxoAM5lRu,CV8hMoDedQ,Q3gzHPD734,qQtjj6m3VX,Majgbbhstn,kEIQub7atg
ocfinYGpQi,5cQHAeh6tV,OmclFdcPEN,eJB0Qtk3ZI,QrUCVXoK7q,Fg3lYn0E4E,fxHcYfb40a,JIRkaIzcK6,MITiISX7EX,cBKUq4S9T9,bnOgC1aDPf,jW88UyaO4P,wg8eNHqWpm
yczSI6lsjI,kENYM1cHnf,9Ru4TJsbCX,00GXekNzyw,8mXklt6JJx,vip8dunrwH,ZeXOj4Akxj,5MYzH10spw,BdqlXFqaGs,DKTvAR6VhV,aSSE4SI82D,agwh68Rgvu,3aNSns24M5
M94DMP8evj,fs68tEkXVt,GP7vuOPsE7,wdjCFIkqDZ,yZSzre6aLZ,XHDzWRsv2o,Gc7btWQ4ay,WKxvVUa4Ac,XJuCYxmpBt,cP4NAioK4G,cTe9qwY9cv,1q2IYn6d1H,hEFh6IOBGG
wcd1OLEqy9,a29keQkm1o,HuX72oXiBc,RnnrRopkaR,0RPEOFJUEL,UL8BQgNx6g,JUgCp2Hbwm,gyy0BY36RI,viSJ60EfHf,3HVRRhmLJp,AqIsKhxTqy,abs6AgKiSE,Lrmyzc2DdH
9SJBNqcMvt,LXLih6AdCI,wpOACtPHeI,QeYDrH1LVs,XZVbTcwiKl,A73ZaiMxoJ,TsgcfcXRjS,YqVQArMFyL,g4yFT3FixE,XbdDW1oNHU,I9bgzerDFB,m77RcI81O7,PFwWFhLFrU
0P1ks7XD6U,F1oVcAQF8r,C4bO4z8cUM,n2uzIaKysf,3jDKf2NdQ8,zYjJQPXy3u,KdlCWxpygN,iZjzzJfodn,im5ZflIJS8,tk37Blzfiw,gXXCOT1PRO,ap63vaC5KC,n4mUm8u0Va
Ag8oVYoWYx,EVQ9lPI9Av,cXPy4BWa4g,ruFr0MJcuh,kaU6JXXzZ3,xkUVCOAlmx,pDcJ7RdiJs,aXycYwcZ90,egU3larzpe,4tInGKon0F,MZRisXxDWr,XCp54D3d3M,SeOvqyjyUB
t7FDYVJRt9,TmSkdmHPlg,Ocn8nZa6zl,YjA2ZjDIK4,OZa9ZSRDAO,3CBkOZeGyk,Aknnk2WCsA,QCAfzCkd0A,P3xIYPFIW7,MPy8aPZjJf,Dyo3Ebd0an,PWe9zR4XjK,x5bvEMho9Z
Udy8X0JQjH,3y9MiQDN46,HqOIrQYsgy,phJYaW5SQb,2sXc3A9igG,frUHRJH4ld,3Du44nue3L,adODdY9X8Y,Q973fXgHik,E36RWOeTcz,GFhKk7Pkt3,LqAfhMtICg,h0kb0uhKQ3
XCSjnGsasy,jNv93n5EBx,YgIkVCl4fL,L0Zt3QNbg8,suLogiZud1,LvCmJKhsuM,NnvynIzLR5,mLLygvulzh,TlymyxCioY,WdoFnfumT4,5XfsZK7NHx,SoacnQhL9u,ZOjcE8YnrV
4YdSRoqgQF,4fEeuBPm6N,gLq4VWrWPK,60YczFADGE,Nd9Tv0bPDY,osLcYqBCh7,1klyQM4XN8,54gh9pquDL,vBdeG8XtCy,scWy3UutYu,AJMeejkMLk,RGkauj7Jlp,b1BTiF9Ej7
