Scenario,Year,Period,View,Entity,Value,Account,ICP,UD1,UD2,UD3,UD4,Amount
rxiczSrTrc,glIegT6Zqi,2nEZBPzGWd,fhKEa99bSr,N3rEWRpTyI,gdXhcqDO6C,EvY0IjVnlL,72v2UCmBez,Vd3SLhfb0y,DpGAMY3bgb,nTAbtmYkc3,BZBG8S2PYJ,q0SMN0ByrA
zSqN5POtDG,Fy7r8zHw8i,VGN2EUw8yN,kKu0kKL7Xn,uKoOWdAbbG,PGZAZGskyu,KyJtzyJCkt,9YUZioEmax,qbvLdV6Vel,X8VaFMBLLf,lAi9ClOd4c,XUNZBwRwTt,w7xnx5WV8m
ux1vUENAcp,4en7olXXdD,sDU4jI2obD,81WLvEpUOQ,XNUfP887Mi,M2eu7q8SQL,d1N7vjQQoK,2qtk8WBaow,rJQ3vd2laj,xrt24OOXfh,N7Q8jEkaxw,K0pBuryOZe,SN616atXiR
OtW05coZbs,Ex6ACtJ9og,ycniF8qtX1,qxNTzV0UrM,WB69X1ZmbW,ZVF90krppk,hX0tk4Opjw,ivzknJ66iR,KFXUckUGlK,SCTxsny0Ok,qOvwZPxSKI,DO5SNLhpHk,IDVNjeaWT1
p10GXYo4BX,FkWkWZI0KR,nbdAwKckSc,QUvPKuYdqr,w96AIJBwk7,Opuwf53dj3,ldXz9ivct5,QhYJgUjTBO,PRW8OOxY2F,cyuH97uVoF,j3tGrigwEG,naj0IU78ek,fEzmQH5WW0
W2eg2oT5VH,QHqWOUnb3E,skq1m8wa6D,Q1xzrfbgXi,oGIGCIzJ4E,fiNScjodDD,Yd9gQYKcuv,WJ9dTFo3p6,spKdKyEyj4,nzSuYXBBV3,1o7ybyYvTr,FwemOcXRNI,u07YH6gZKk
9nY9Ea94kD,nAlboDBtn9,mSrqW4VzKV,KuhqoHxd4g,2vaVADOvnR,Zp4IKK5LqK,WZKqjX9m0P,2b7mMhw8F2,KsxcmV6Hby,lNzGx5PTA4,itpRKAXmC3,Wlwkl9rHuU,g1RnXCGpBr
uUfc44iyKY,7fJdoekUI5,U7ltxPUux5,OnPYYWzjSV,4O3x4LReSI,cyKnITVxeo,8eWcpuhOJa,93dCeFPqQz,W3WFHu2jmF,FswROMrTpF,UtgAJdu2Ek,ZXt4vWoCKp,DNUbaKZncY
9CaTk1EfIT,d9z0MCcl4Z,uakjAQCmit,3CCCwykXHK,ZndEFliYrs,mxUH1XSQq8,QCsjUjKN3i,OrmiGnkVCx,v89HoEuJv0,yru3jZ5EQy,lsKyvUYr3x,U8hB0Xhs3B,sGN4ZsawNR
g0jxv4hvXb,c3oGvUlu99,hGyczDu2lh,uRm8zD7And,M4sQRvcyGg,QKyRq2T1A6,SSkGdjrwvX,CT5UU3iPwu,SQ2GVvULhP,Oheb2yoSc5,6onV61AsQp,vRS93J4Qxl,0ZvN7baM3u
